Symbol,Name,Sector,Price_EUR,Total_Score,Stewardship,Technical,FinBERT_Score,Reasoning,Signal,Horizon,Backtest_PnL,Backtest_Status,BT_WinRate,BT_Avg_PnL,BT_Trades,PE,RSI,Upside_pct
CCJ,Cameco,Uranium / Nuclear,113.1,14.576940434087053,5.0,15.0,-1.7,"Cameco (CCJ) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance, Cameco (NYSE:CCJ) Trading Down 1.3% - Here's What Happened - MarketBeat, Nuclear Stock Face-Off: Is Oklo or Cameco the Better Buy Right Now? - The Motley Fool",SELL,SPECULATIVE (short-term),191.46,EXIT_CURRENT,0.0,0.0,0,123.602036,65.8430594471289,22.2
NXE,NexGen Energy,Uranium / Nuclear,11.48,39.148778414355974,5.0,23.0,24.6,"NexGen Energy announces C$400M bought deal and concurrent A$400M offering - MSN, Why NexGen Energy (TSX:NXE) Is Up 5.9% After Final Federal Approval For Rook I Project - Yahoo Finance, NexGen Energy Ltd. (TSE:NXE) Receives Consensus Recommendation of ""Buy"" from Analysts - MarketBeat",SELL,SPECULATIVE (short-term),150.86,EXIT_CURRENT,0.0,0.0,0,-146.5104,61.363628700965855,70.5
LEU,Centrus Energy,Uranium / Nuclear,190.4,37.11488751415039,5.0,23.0,16.5,"Centrus Energy (NYSE: LEU) sets 2026 virtual meeting, governance and pay votes - Stock Titan, Centrus Energy Selects Geiger Brothers as Construction Contractor for Major Uranium Enrichment Plant Expansion - PR Newswire, Centrus Energy Corp (LEU) Stock Down 6.3% but Still Overvalued -- GF Score: 66/100 - GuruFocus",SELL,SPECULATIVE (short-term),186.8,EXIT_CURRENT,0.0,0.0,0,51.01414,59.67600864326132,46.3
BWXT,BWX Technologies,Uranium / Nuclear,206.62,35.75879651307212,5.0,23.0,11.0,"After years of development, BWX Technologies hopes to prove the value of tiny nuclear fuel particles - Cardinal News, West Michigan Advisors LLC Buys New Stake in BWX Technologies, Inc. $BWXT - MarketBeat, $100 Invested In BWX Technologies 10 Years Ago Would Be Worth This Much Today - Sahm",SELL,SPECULATIVE (short-term),117.39,EXIT_CURRENT,0.0,0.0,0,62.20112,54.919722213206484,13.5
UEC,Uranium Energy,Uranium / Nuclear,13.01,43.28359962161595,15.0,23.0,1.1,"Eagle Nuclear Energy to Commence Summer Drilling Program at America's Largest Uranium Deposit - Crux Investor, TerraPower begins construction on Natrium power plant in Kemmerer - American Nuclear Society -- ANS, State-Level Policy Shifts Spark Nuclear Energy Investment Opportunities - ETF Database",SELL,SPECULATIVE (short-term),171.09,EXIT_CURRENT,0.0,0.0,0,-906.1188,55.759604010208605,47.3
DNN,Denison Mines,Uranium / Nuclear,3.52,35.68410067072915,5.0,23.0,10.7,"Denison Mine (NYSEAMERICAN:DNN) Share Price Passes Above 200 Day Moving Average - Here's Why - MarketBeat, Denison Mines vs. NexGen Energy: Which Uranium Stock to Buy Now? - Yahoo Finance, Can Denison Mines' Phoenix Project Power Its Next Growth Phase? - qz.com",SELL,SPECULATIVE (short-term),167.46,EXIT_CURRENT,0.0,0.0,0,-99.12207,56.83453508887182,41.5
PDN.AX,Paladin Energy,Uranium / Nuclear,11.68,26.116099303590946,5.0,23.0,12.5,"Citi Sticks to Its Buy Rating for Paladin Energy Ltd (PALAF) - The Globe and Mail, A Quick Look at Today's Ratings for PALADIN ENERGY LIMITED(PALAF.US), With a Forecast Between $6.95 to $10.91 - Moomoo, Paladin Energy Q3 Earnings Call Highlights - Yahoo Finance",SELL,SPECULATIVE (short-term),113.58,EXIT_CURRENT,0.0,0.0,0,42.57131,60.585194968144656,9.5
BOE.AX,Boss Energy,Uranium / Nuclear,1.49,50.958542311572266,15.0,30.0,-16.2,"UBS Group Ceases to Be Substantial Shareholder in Boss Energy - The Globe and Mail, UBS Group Ceases to Be Substantial Shareholder in Boss Energy - TipRanks, Poorna Jagannathan Brings Boss Energy in Power Suit to ‘Deli Boys’ Press Day - IMDb",HOLD,SPECULATIVE (short-term),-17.77,EXIT_STOP,0.0,0.0,0,7.86959,51.648350352754754,10.3
YCA.L,Yellow Cake,Uranium / Nuclear,556.02,44.310927093027665,5.0,30.0,-2.8,"King Arthur gluten-free yellow cake mix a lucky find - Daily Herald, The Hands-Down Best Boxed Yellow Cake Mix We Tried Caught Our Attention Before We Even Tasted It - Chowhound, I Baked Up 9 Yellow Cake Mixes and the Winner Was an Absolute Classic - Parade",SELL,SPECULATIVE (short-term),40.68,EXIT_CURRENT,0.0,0.0,0,-232.33727,50.82644628099173,32.5
NATKY,Kazatomprom,Uranium / Nuclear,85.05,22.845837408675823,5.0,0.0,11.4,"Kazatomprom Sets AGM Date, Proposes 75% FCF Dividend and Approves 2025 Integrated Report - TipRanks, Kazatomprom to lower uranium production in 2026 - World Nuclear News, Areva And Kazatomprom Announce Plans To Build Fuel Facility - NucNet",SELL,SPECULATIVE (short-term),,N/A,0.0,0.0,0,18.608248,93.15025927226735,0.0
GLO.TO,Global Atomic,Uranium / Nuclear,0.73,41.26338698901228,5.0,30.0,5.1,"Top 7 countries with the most nuclear reactors as global atomic power expands: See where India stands - WION, Global Atomic (TSE:GLO) Trading 1.3% Higher - Here's Why - MarketBeat, Ukraine: nuclear power plants and the International Atomic Energy Commission’s monitoring, preparedness programs and support and assistance missions - Ukrainian World Congress",SELL,SPECULATIVE (short-term),-26.8,EXIT_STOP,0.0,0.0,0,-20.375,52.777783756639515,207.6
URA,URA ETF,Uranium / Nuclear,51.21,18.610538691282947,0.0,15.0,14.4,"URA: The Uranium Trade Is Entering Its Most Dangerous Phase (NYSEARCA:URA) - Seeking Alpha, Precision Trading with Global X Uranium Etf (URA) Risk Zones - Stock Traders Daily, Top 5 ETFs Positioned to Benefit From the AI Power Demand Boom - ETF.com",SELL,SPECULATIVE (short-term),144.78,EXIT_CURRENT,0.0,0.0,0,42.903008,68.18676117399104,0.0
URNM,URNM ETF,Uranium / Nuclear,62.05,33.18818220123467,0.0,23.0,0.8,"URNM: ETF With Global Exposure In The Uranium Industry - Seeking Alpha, Sprott Uranium Miners ETF (Derivatives) Price | URNM Price Today, Live Chart, USD converter, Market Capitalization - CryptoRank, Why These 3 Uranium ETFs Could Be 2026’s Most Overlooked Winners - Yahoo Finance",SELL,SPECULATIVE (short-term),101.83,EXIT_CURRENT,0.0,0.0,0,14.177218,59.02074172394042,0.0
VST,Vistra,Energy,152.18,30.964181171733387,10.0,15.0,3.9,"Is Vistra Corp (VST) Overvalued After 4.8% Rally? GF Value Says - GuruFocus, Vistra Announces Private Offering of Senior Notes - PR Newswire, Jefferies lowers Vistra Energy stock price target on valuation - Investing.com",SELL,SPECULATIVE (short-term),32.82,EXIT_CURRENT,0.0,0.0,0,72.15068,65.06850598639033,53.7
CEG,Constellation Energy,Energy,290.31,25.262844515974663,5.0,15.0,1.1,"PJM market monitor opposes waivers for Constellation’s Three Mile Island nuclear restart - Utility Dive, Constellation Energy’s Calpine Deal Reshapes Scale Valuation And Clean Power Role - Yahoo Finance, Constellation Energy Reshapes Clean Power Role With Calpine Deal And Crane Test - simplywall.st",SELL,SPECULATIVE (short-term),44.35,EXIT_CURRENT,0.0,0.0,0,38.19892,69.53467588771665,28.1
RWE.DE,RWE,Energy,59.94,43.26004678570337,5.0,23.0,41.0,"RWE’s Camster II onshore wind farm is completed and powering Scottish homes and businesses - RWE, Germany: RWE Group Moves Into Austrian Energy Market - NucNet, RWE and Polarium sign multi-asset tolling to unlock virtual battery from thousands of sites to support integration of renewables - RWE",SELL,SPECULATIVE (short-term),88.49,EXIT_CURRENT,0.0,0.0,0,13.627906,54.34380307129079,2.7
